label,time_ms,ch0_rate_hz,ch0_var_isi_ms,ch1_rate_hz,ch1_var_isi_ms,ch2_rate_hz,ch2_var_isi_ms,ch3_rate_hz,ch3_var_isi_ms,ch4_rate_hz,ch4_var_isi_ms,ch5_rate_hz,ch5_var_isi_ms
0,10753.250,0.000000,NaN,12.000000,26.050000,2.000000,NaN,0.000000,NaN,22.000000,5.965000,26.000000,5.199219
0,10853.250,0.000000,NaN,14.000000,100.909722,0.000000,NaN,2.000000,NaN,24.000000,6.776860,28.000000,6.602071
0,10953.250,0.000000,NaN,16.000000,87.096939,0.000000,NaN,4.000000,0.000000,22.000000,8.468125,26.000000,2.649306
0,11053.250,0.000000,NaN,16.000000,44.887755,0.000000,NaN,8.000000,23.180556,22.000000,8.552500,28.000000,4.261095
0,11153.250,2.000000,NaN,16.000000,17.311224,0.000000,NaN,8.000000,23.180556,24.000000,7.977273,26.000000,11.243056
0,11253.250,2.000000,NaN,18.000000,50.022461,0.000000,NaN,8.000000,23.180556,24.000000,12.436983,24.000000,34.026860
0,11353.250,2.000000,NaN,16.000000,58.739796,0.000000,NaN,6.000000,11.390625,22.000000,10.110000,22.000000,29.438125
0,11453.250,2.000000,NaN,16.000000,33.875000,0.000000,NaN,6.000000,16160.765625,22.000000,11.640000,24.000000,19.691116
0,11553.250,2.000000,NaN,16.000000,33.239796,0.000000,NaN,4.000000,0.000000,24.000000,11.296488,22.000000,19.440000
0,11653.250,0.000000,NaN,18.000000,32.093750,0.000000,NaN,6.000000,26.265625,22.000000,7.777500,24.000000,14.277893
0,11753.250,0.000000,NaN,16.000000,6.954082,0.000000,NaN,8.000000,25.180556,24.000000,4.043388,24.000000,4.535124
0,11853.250,2.000000,NaN,16.000000,347.571429,0.000000,NaN,12.000000,84.815000,24.000000,5.505165,24.000000,35.535124
0,11953.250,4.000000,0.000000,16.000000,367.979592,0.000000,NaN,12.000000,67.315000,28.000000,18.586538,22.000000,31.147500
0,12053.250,4.000000,0.000000,16.000000,462.892857,2.000000,NaN,14.000000,251.987847,28.000000,24.015533,24.000000,33.988636
0,12153.250,6.000000,289.000000,16.000000,499.887755,2.000000,NaN,16.000000,172.168367,32.000000,15.823889,22.000000,35.375000
0,12253.250,8.000000,858.791667,18.000000,64.933594,2.000000,NaN,18.000000,111.420898,32.000000,8.545556,22.000000,12.480625
0,12353.250,8.000000,912.263889,20.000000,12.680556,2.000000,NaN,18.000000,5.631836,34.000000,2.414062,22.000000,9.005625
0,12453.250,6.000000,663.062500,20.000000,15.291667,2.000000,NaN,20.000000,13.469136,34.000000,1.896240,22.000000,7.752500
0,12553.250,6.000000,663.062500,20.000000,27.111111,0.000000,NaN,18.000000,78.124023,34.000000,3.782959,20.000000,5.680556
0,12653.250,4.000000,0.000000,16.000000,24.721939,0.000000,NaN,14.000000,98.576389,30.000000,31.103635,20.000000,7.791667
0,12753.250,2.000000,NaN,12.000000,27.240000,0.000000,NaN,10.000000,133.261719,28.000000,57.340976,22.000000,19.378125
0,12853.250,0.000000,NaN,8.000000,40.930556,0.000000,NaN,6.000000,78.765625,26.000000,61.046441,22.000000,26.953125
0,12953.250,0.000000,NaN,4.000000,0.000000,0.000000,NaN,2.000000,NaN,22.000000,42.338125,22.000000,21.300625
0,13053.250,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,20.000000,11.084877,22.000000,12.772500
0,13153.250,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,20.000000,10.791667,22.000000,30.265000
0,13253.250,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,22.000000,22.303125,20.000000,103.126543
0,13353.250,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,22.000000,24.493125,18.000000,129.889648
0,13453.250,0.000000,NaN,2.000000,NaN,0.000000,NaN,0.000000,NaN,24.000000,31.152893,16.000000,93.637755
0,13553.250,0.000000,NaN,4.000000,0.000000,0.000000,NaN,2.000000,NaN,28.000000,32.724852,16.000000,68.872449
0,13653.250,0.000000,NaN,6.000000,97.515625,0.000000,NaN,4.000000,0.000000,32.000000,35.288889,16.000000,87.507653
0,13753.250,0.000000,NaN,10.000000,1517.730469,0.000000,NaN,8.000000,41.625000,34.000000,28.622803,18.000000,145.324219
0,13853.250,0.000000,NaN,14.000000,1477.223958,0.000000,NaN,12.000000,38.500000,40.000000,21.948753,20.000000,111.376543
0,13953.250,2.000000,NaN,16.000000,1097.382653,2.000000,NaN,16.000000,34.102041,46.000000,22.712939,24.000000,47.170455
0,14053.250,2.000000,NaN,18.000000,28.656250,2.000000,NaN,18.000000,11.405273,48.000000,10.981805,24.000000,12.420455
0,14153.250,2.000000,NaN,20.000000,23.250000,2.000000,NaN,20.000000,11.478395,50.000000,4.632704,24.000000,19.243802
0,14253.250,2.000000,NaN,18.000000,25.453125,2.000000,NaN,18.000000,19.183594,50.000000,3.832357,22.000000,19.268125
0,14353.250,2.000000,NaN,18.000000,19.746094,2.000000,NaN,18.000000,22.303711,50.000000,3.506510,22.000000,16.697500
0,14453.250,0.000000,NaN,20.000000,30.746914,0.000000,NaN,16.000000,193.941327,46.000000,2.107567,18.000000,10.991211
0,14553.250,0.000000,NaN,20.000000,44.430556,0.000000,NaN,14.000000,224.763889,46.000000,1.280604,18.000000,51.796875
0,14653.250,2.000000,NaN,20.000000,27.138889,0.000000,NaN,14.000000,190.083333,44.000000,1.360828,16.000000,177.084184
0,14753.250,6.000000,2.640625,22.000000,43.590000,0.000000,NaN,14.000000,184.020833,46.000000,1.830579,14.000000,192.842014
0,14853.250,10.000000,9.265625,20.000000,131.819444,0.000000,NaN,12.000000,97.135000,44.000000,4.419501,14.000000,158.534722
0,14953.250,14.000000,15.097222,18.000000,148.261719,0.000000,NaN,12.000000,270.835000,42.000000,7.272500,16.000000,153.869898
0,15053.250,20.000000,57.375000,16.000000,113.339286,0.000000,NaN,10.000000,331.640625,40.000000,9.871537,16.000000,100.515306
0,15153.250,24.000000,112.048554,12.000000,27.215000,0.000000,NaN,6.000000,110.250000,36.000000,15.216696,20.000000,119.319444
